token,symbol,name,expiry,strike,lotsize,instrumenttype,exch_seg,tick_size
64529,ADANIENT29MAY252760PE,ADANIENT,29MAY2025,276000.000000,300,OPTSTK,NFO,5.000000
66375,ADANIENT29MAY252260PE,ADANIENT,29MAY2025,226000.000000,300,OPTSTK,NFO,5.000000
66384,ADANIENT29MAY252460CE,ADANIENT,29MAY2025,246000.000000,300,OPTSTK,NFO,5.000000
66388,ADANIENT29MAY252540CE,ADANIENT,29MAY2025,254000.000000,300,OPTSTK,NFO,5.000000
66380,ADANIENT29MAY252380CE,ADANIENT,29MAY2025,238000.000000,300,OPTSTK,NFO,5.000000
66394,ADANIENT29MAY252660CE,ADANIENT,29MAY2025,266000.000000,300,OPTSTK,NFO,5.000000
66396,ADANIENT29MAY252700CE,ADANIENT,29MAY2025,270000.000000,300,OPTSTK,NFO,5.000000
66401,ADANIENT29MAY252740PE,ADANIENT,29MAY2025,274000.000000,300,OPTSTK,NFO,5.000000
66575,ADANIENT26JUN252520PE,ADANIENT,26JUN2025,252000.000000,300,OPTSTK,NFO,5.000000
66503,ADANIENT26JUN251960PE,ADANIENT,26JUN2025,196000.000000,300,OPTSTK,NFO,5.000000
66510,ADANIENT26JUN252120CE,ADANIENT,26JUN2025,212000.000000,300,OPTSTK,NFO,5.000000
66526,ADANIENT26JUN252440CE,ADANIENT,26JUN2025,244000.000000,300,OPTSTK,NFO,5.000000
66663,ADANIENT26JUN252760PE,ADANIENT,26JUN2025,276000.000000,300,OPTSTK,NFO,5.000000
64485,ADANIENT29MAY251880PE,ADANIENT,29MAY2025,188000.000000,300,OPTSTK,NFO,5.000000
64515,ADANIENT29MAY252480PE,ADANIENT,29MAY2025,248000.000000,300,OPTSTK,NFO,5.000000
64521,ADANIENT29MAY252600PE,ADANIENT,29MAY2025,260000.000000,300,OPTSTK,NFO,5.000000
66358,ADANIENT29MAY251980PE,ADANIENT,29MAY2025,198000.000000,300,OPTSTK,NFO,5.000000
66363,ADANIENT29MAY252100CE,ADANIENT,29MAY2025,210000.000000,300,OPTSTK,NFO,5.000000
66365,ADANIENT29MAY252140CE,ADANIENT,29MAY2025,214000.000000,300,OPTSTK,NFO,5.000000
66366,ADANIENT29MAY252140PE,ADANIENT,29MAY2025,214000.000000,300,OPTSTK,NFO,5.000000
66368,ADANIENT29MAY252180CE,ADANIENT,29MAY2025,218000.000000,300,OPTSTK,NFO,5.000000
66385,ADANIENT29MAY252460PE,ADANIENT,29MAY2025,246000.000000,300,OPTSTK,NFO,5.000000
66505,ADANIENT26JUN252000PE,ADANIENT,26JUN2025,200000.000000,300,OPTSTK,NFO,5.000000
66507,ADANIENT26JUN252040PE,ADANIENT,26JUN2025,204000.000000,300,OPTSTK,NFO,5.000000
66509,ADANIENT26JUN252080PE,ADANIENT,26JUN2025,208000.000000,300,OPTSTK,NFO,5.000000
66512,ADANIENT26JUN252160CE,ADANIENT,26JUN2025,216000.000000,300,OPTSTK,NFO,5.000000
66634,ADANIENT26JUN252640CE,ADANIENT,26JUN2025,264000.000000,300,OPTSTK,NFO,5.000000
66356,ADANIENT29MAY251940PE,ADANIENT,29MAY2025,194000.000000,300,OPTSTK,NFO,5.000000
66361,ADANIENT29MAY252060CE,ADANIENT,29MAY2025,206000.000000,300,OPTSTK,NFO,5.000000
66362,ADANIENT29MAY252060PE,ADANIENT,29MAY2025,206000.000000,300,OPTSTK,NFO,5.000000
66370,ADANIENT29MAY252220CE,ADANIENT,29MAY2025,222000.000000,300,OPTSTK,NFO,5.000000
66371,ADANIENT29MAY252220PE,ADANIENT,29MAY2025,222000.000000,300,OPTSTK,NFO,5.000000
66395,ADANIENT29MAY252660PE,ADANIENT,29MAY2025,266000.000000,300,OPTSTK,NFO,5.000000
66502,ADANIENT26JUN251960CE,ADANIENT,26JUN2025,196000.000000,300,OPTSTK,NFO,5.000000
66523,ADANIENT26JUN252360PE,ADANIENT,26JUN2025,236000.000000,300,OPTSTK,NFO,5.000000
66525,ADANIENT26JUN252400PE,ADANIENT,26JUN2025,240000.000000,300,OPTSTK,NFO,5.000000
66633,ADANIENT26JUN252600PE,ADANIENT,26JUN2025,260000.000000,300,OPTSTK,NFO,5.000000
